LON,LAT,Application____KOAP__or_Class__Nursery_,Commercial,Organization,Last_known_Address,Last_Known_Contact_Name,Phone,Email,Web,County,Data_Source,Status__2023_,Instance__
-86.4491867,36.9014525,,,Coview Farm,"811 Coburg Road, Columbia, KY 42728",Darrell or Cathy Bunnell,(270) 384-5412,coviewfarm@hotmail.com,,Adair,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-85.3242216,37.0859672,,,Luxury Lawn & Landscape,"1380 Burksesville Street, Columbia, KY 42728",Blake & Vicki Hatcher,(270) 384-3977,jbhatc3@uky.edu,vhatcher@cheerful.com,Adair,Kentucky Proud Greenhouse Growers 2021,Unknown,1
-85.466926,36.9326254,,,Shady Ridge Nursery,"100 Shady Ridge Lane, Breeding, KY 42715",Sandy Scott,,shadyridgenursery100@gmail.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,2
-85.34876,37.199083,,,Coview Farm,"811 Coburg Road, Columbia, KY 42728",Darrell or Cathy Bunnell,(270) 384-5412,coviewfarm@hotmail.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,2
-85.2997761,37.1151768,,,Day & Day Feed Mill,"1011 Campbellsville Road, Columbia, KY 42728",Julie Day,(270) 384-2209,daystrucking@duo-county.com,www.dayanddayfeed.com,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.3242216,37.0859672,,,Luxury Lawn & Landscape,"1380 Burksesville Street, Columbia, KY 42728",Blake & Vicki Hatcher,(270) 384-3977,jbhatc3@uky.edu,vhatcher@cheerful.com,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,2
-85.2694784,37.120034,,,Tucker's Station Farms,"1535 Bull Run Road, Columbia, KY 42728",Barbara Armitage,(270) 250-2979,tuckers.station@gmail.com,www.TuckersStationFarms.com,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.3063504,37.102841,,,"Farmers' Market On The Square, LLC",", Columbia, KY 42728",Darrell Andrew,,darrell@duo-county.com,www.facebook.com/fm2columbia,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.296704,37.170307,,,Big Black Dog Farm,"862 L Jones Road, Columbia, KY 42728",Donna Jones,(270) 634-2125,jonesdonna1959@gmail.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.2999684,37.1015362,,,Lindsey Wilson College Sea Program,"210 Lindsey Wilson St, Columbia, KY 42728",Douglas Keaton,(270) 384-8066,Keatond@lindsey.edu,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.395413,37.06092,,,K & A Homestead,"2226 Jones Chapel Road, Columbia, KY 42728",Annie Greenwell,,Annienielsen87@yahoo.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.2536911,37.1689385,,,Plant Cell Nursery,"262 Snake Creek Road, Columbia, KY 42728",Derek Nickel,(270) 634-2063,derek.nickel@lindsey.edu,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.328244,37.126362,,,Richards Family Farm,"2075 Pelham Branch Road, Columbia, KY 42728",Brandi Richards,,bjrichards77@gmail.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
-85.227571,37.221723,,,Durbin Family Farm,"225 England Cook Road, Knifley, KY 42753",Teresa Durbin,(270) 384-6902,tdurbin66@gmail.com,,Adair,Kentucky Proud Greenhouse Products 2021,Unknown,1
